account_id,is_employee,last_modified_date,last_access_date,reputation_change_year,reputation_change_quarter,reputation_change_month,reputation_change_week,reputation_change_day,reputation,creation_date,user_type,user_id,accept_rate,location,website_url,link,profile_image,display_name,badge_counts_bronze,badge_counts_silver,badge_counts_gold,country,insert_date
3465245,False,1654011000.0,1654167608,41170,16768,672,1407,291,729374,1382300846,registered,2901002,97.0,"Bratislava, Slovakia",,https://stackoverflow.com/users/2901002/jezrael,https://i.stack.imgur.com/hMDvl.jpg?s=256&g=1,jezrael,1089,1139,78,Slovakia,2022-05-26
4739783,False,1654167600.0,1654167540,29019,11921,290,763,135,561196,1405192634,registered,3832970,,"Warsaw, Poland",,https://stackoverflow.com/users/3832970/wiktor-stribi%c5%bcew,https://i.stack.imgur.com/IFOp5.jpg?s=256&g=1,Wiktor Stribiżew,476,376,34,Poland,2022-05-26
99309,False,1653981000.0,1654166980,10402,4400,120,446,30,119479,1353165192,registered,1832058,,"Torun, Poland",https://blog.furas.pl,https://stackoverflow.com/users/1832058/furas,https://i.stack.imgur.com/relWs.jpg?s=256&g=1,furas,135,94,10,Poland,2022-05-26
14938620,False,1654016100.0,1654167892,4479,2106,18,183,8,21609,1544703423,registered,10785975,,"Warszawa, Polska",,https://stackoverflow.com/users/10785975/daweo,https://www.gravatar.com/avatar/c668b4905932bb9e8abe4d881e689a36?s=256&d=identicon&r=PG&f=1,Daweo,19,9,3,Unknown,2022-05-26
79986,False,1653518100.0,1654127650,655,265,10,30,0,19312,1260201115,registered,226473,90.0,Unknown,,https://stackoverflow.com/users/226473/ramy,https://www.gravatar.com/avatar/f639c91d1fb06120d12e3169e532d441?s=256&d=identicon&r=PG,Ramy,146,98,38,Unknown,2022-05-26
16467123,False,1653586501.0,1654143648,743,183,0,10,0,14438,1565191758,registered,11897007,,Argentina,,https://stackoverflow.com/users/11897007/celius-stingher,https://i.stack.imgur.com/IoZiJ.png?s=256&g=1,Celius Stingher,47,18,5,Argentina,2022-05-26
3377022,False,1654124100.0,1654138785,911,661,25,85,0,8565,1380632776,registered,2834978,,Unknown,,https://stackoverflow.com/users/2834978/lmc,https://www.gravatar.com/avatar/05b09a797fd0c59d1627b30fb4cdba01?s=256&d=identicon&r=PG&f=1,LMC,45,25,2,Unknown,2022-05-26
15001531,False,1653930300.0,1654167928,1309,506,34,86,12,5980,1545653980,registered,10829044,,Unknown,,https://stackoverflow.com/users/10829044/the-great,https://lh3.googleusercontent.com/-XkVFAldxdns/AAAAAAAAAAI/AAAAAAAAAAA/AKxrwcYw7mFQ9BqeKrYJYmarsmObRK9Lsw/mo/photo.jpg?sz=256,The Great,61,18,5,Unknown,2022-05-26
2997357,False,1650093900.0,1654002119,-198,56,10,10,0,4890,1372785299,registered,2543622,66.0,Unknown,,https://stackoverflow.com/users/2543622/user2543622,https://www.gravatar.com/avatar/9c20a1658db39998c589a874842c8e03?s=256&d=identicon&r=PG,user2543622,136,75,22,Unknown,2022-05-26
21534091,False,1653936300.0,1654156643,1386,796,0,15,0,3292,1620493411,registered,15873043,,Unknown,,https://stackoverflow.com/users/15873043/fsimonjetz,https://www.gravatar.com/avatar/a668483f12589d1ff88fd85e4403e202?s=256&d=identicon&r=PG&f=1,fsimonjetz,17,4,1,Unknown,2022-05-26
77556,False,1649953800.0,1653632152,146,58,0,0,0,2072,1259578618,registered,221270,90.0,Unknown,,https://stackoverflow.com/users/221270/honeymoon,https://www.gravatar.com/avatar/cf9ea3641a4e5ca694a8efa33198aad8?s=256&d=identicon&r=PG,honeymoon,36,31,4,Unknown,2022-05-26
3753079,False,1653704400.0,1654159345,-92,38,0,0,0,2010,1387473747,registered,3120129,73.0,World,,https://stackoverflow.com/users/3120129/10101,https://i.stack.imgur.com/9kgKm.jpg?s=256&g=1,10101,48,18,3,Unknown,2022-05-26
9882476,False,1653096600.0,1654160206,776,221,2,2,0,1738,1482177530,registered,7318120,,"London, United Kingdom",http://www.lemsolutions.co.uk,https://stackoverflow.com/users/7318120/d-l,https://i.stack.imgur.com/sWhra.jpg?s=256&g=1,D.L,25,12,2,United Kingdom,2022-05-26
9302465,False,1653318837.0,1654166841,320,138,0,0,0,1720,1475295889,registered,6907424,,Bangladesh,https://www.linkedin.com/in/hafiz-uddin-b86a51160/,https://stackoverflow.com/users/6907424/hafiz031,https://www.gravatar.com/avatar/c98bd1b7f19d6de9dd1b972eac5d5167?s=256&d=identicon&r=PG&f=1,hafiz031,38,17,3,Bangladesh,2022-05-26
16585571,False,1653915300.0,1654165014,1136,953,30,90,15,1305,1566924386,registered,11985088,,Unknown,https://www.linkedin.com/in/kamil-gazizullin,https://stackoverflow.com/users/11985088/inquirer,https://www.gravatar.com/avatar/d939db1ace1a8ed314172d21556232f9?s=256&d=identicon&r=PG&f=1,inquirer,12,5,1,Unknown,2022-05-26
16242515,False,1653922200.0,1654082515,1115,330,7,57,-2,1216,1562060000,registered,11728488,,"Rome, Italy",,https://stackoverflow.com/users/11728488/salvatore-daniele-bianco,https://i.stack.imgur.com/xWEhA.jpg?s=256&g=1,Salvatore Daniele Bianco,16,4,0,Italy,2022-05-26
8270609,False,1645837500.0,1654093970,138,72,10,10,0,1056,1515281650,registered,9182743,,Italy,,https://stackoverflow.com/users/9182743/leo,https://www.gravatar.com/avatar/9306778cac4cc704a8931a04cf432bf9?s=256&d=identicon&r=PG,Leo,23,5,0,Italy,2022-05-26
22946016,False,1654167600.0,1654168208,543,518,45,45,45,1008,1633422281,registered,17077978,,Unknown,,https://stackoverflow.com/users/17077978/robertot,https://www.gravatar.com/avatar/d3d06835e4973cb35b82dd3472f3f9bb?s=256&d=identicon&r=PG,RobertoT,11,0,0,Unknown,2022-05-26
11095297,False,1648511400.0,1653746852,108,34,0,0,0,906,1540904863,registered,10580574,,"Ahmedabad, Gujarat, India",,https://stackoverflow.com/users/10580574/coder,https://www.gravatar.com/avatar/8d507cfae0e9a819acd0b1af9787505e?s=256&d=identicon&r=PG&f=1,Coder,18,8,0,India,2022-05-26
13771274,False,1648260901.0,1653608622,110,40,0,0,0,696,1528929895,registered,9938682,,Unknown,,https://stackoverflow.com/users/9938682/sayonti,https://graph.facebook.com/10204840077717533/picture?type=large,Sayonti ,13,7,2,Unknown,2022-05-26
4488018,False,1644835201.0,1654166519,-50,-40,0,10,0,627,1460737052,registered,6210219,94.0,"Taipei, Taiwan",,https://stackoverflow.com/users/6210219/sati,https://www.gravatar.com/avatar/d7700dd655c9a2b6261ed505893bc391?s=256&d=identicon&r=PG&f=1,Sati,23,6,0,Unknown,2022-05-26
9579371,False,1642696800.0,1654018180,26,14,0,0,0,518,1478253568,registered,7114383,85.0,"Toronto, ON, Canada",,https://stackoverflow.com/users/7114383/hamilton,https://www.gravatar.com/avatar/c30d586b847851face8e38abc056bdb8?s=256&d=identicon&r=PG&f=1,Hamilton,28,9,1,Canada,2022-05-26
11580964,False,1653507000.0,1653884645,40,26,0,0,0,433,1503075120,registered,8484885,,"San Diego, CA, USA",,https://stackoverflow.com/users/8484885/james,https://graph.facebook.com/1829741557043662/picture?type=large,James,12,2,0,USA,2022-05-26
5623295,False,1653932102.0,1654164074,38,28,2,24,0,422,1518670965,registered,9363181,,Unknown,,https://stackoverflow.com/users/9363181/rushhour,https://www.gravatar.com/avatar/edb36784a3f70301c84c54544de9de8e?s=256&d=identicon&r=PG&f=1,RushHour,21,6,0,Unknown,2022-05-26
6906304,False,1634948100.0,1654108869,26,26,0,10,0,400,1441466431,registered,5304058,48.0,"Nashville, TN",,https://stackoverflow.com/users/5304058/chits,https://www.gravatar.com/avatar/412414fa169286d84d8a360ab7ee4de9?s=256&d=identicon&r=PG&f=1,chits,17,4,0,Unknown,2022-05-26
3347853,False,1646544900.0,1654113886,12,12,0,0,0,387,1380052343,registered,2812625,16.0,Unknown,,https://stackoverflow.com/users/2812625/tinkinc,https://www.gravatar.com/avatar/1b2f63adfc012bb02a0a63957bffe60a?s=256&d=identicon&r=PG&f=1,Tinkinc,19,6,2,Unknown,2022-05-26
9668054,False,1647653100.0,1654098781,46,42,0,0,0,377,1601652300,registered,14380579,,Unknown,,https://stackoverflow.com/users/14380579/aaron-wright,https://lh6.googleusercontent.com/-5iBi8cd2jtw/AAAAAAAAAAI/AAAAAAAAObw/AMZuuclDmhrMD6LqLkhX5R8eT1aHpzBpsg/photo.jpg?sz=256,Aaron Wright,9,1,0,Unknown,2022-05-26
15681469,False,1653820500.0,1654155250,30,16,10,12,10,337,1554442586,registered,11315276,,Unknown,,https://stackoverflow.com/users/11315276/apacheone,https://lh5.googleusercontent.com/-XkLMzK4iuQU/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcRrUcmcIQTrBC7D5InZPbJr_1mjA/mo/photo.jpg?sz=256,ApacheOne,11,1,0,Unknown,2022-05-26
17572926,False,1653663694.0,1653860096,120,60,0,0,0,301,1579527747,registered,12748319,,"Odesa, Ukraine",,https://stackoverflow.com/users/12748319/ker-laeda86,https://i.stack.imgur.com/k8MGg.jpg?s=256&g=1,ker_laeda86,10,1,0,Ukraine,2022-05-26
