is_accepted,score,last_activity_date,creation_date,answer_id,question_id,content_license,owner_reputation,owner_user_id,owner_user_type,owner_profile_image,owner_display_name,owner_link,last_edit_date,owner_accept_rate,insert_date
True,0,1654068591,1654068591,72457907,72390629,CC BY-SA 4.0,1056,9182743,registered,https://www.gravatar.com/avatar/9306778cac4cc704a8931a04cf432bf9?s=256&d=identicon&r=PG,Leo,https://stackoverflow.com/users/9182743/leo,,,2022-05-26
True,1,1654010107,1653675540,72409583,72385365,CC BY-SA 4.0,19312,226473,registered,https://www.gravatar.com/avatar/f639c91d1fb06120d12e3169e532d441?s=256&d=identicon&r=PG,Ramy,https://stackoverflow.com/users/226473/ramy,1654010107.0,90.0,2022-05-26
False,0,1653942469,1653942469,72439728,72395774,CC BY-SA 4.0,49150,8380272,registered,https://lh5.googleusercontent.com/-3ZL-hcLCA44/AAAAAAAAAAI/AAAAAAAAAag/L1xahsLXycQ/photo.jpg?sz=256,onyambu,https://stackoverflow.com/users/8380272/onyambu,,,2022-05-26
True,0,1653932528,1653604346,72398658,72398581,CC BY-SA 4.0,13530,17242583,registered,https://www.gravatar.com/avatar/627edf3b31797186bbb99fda1ffc8ca6?s=256&d=identicon&r=PG,richardec,https://stackoverflow.com/users/17242583/richardec,1653932528.0,,2022-05-26
False,0,1653815209,1653809618,72421749,72397579,CC BY-SA 4.0,1069,13277819,registered,https://lh3.googleusercontent.com/a-/AOh14GjlrFFvvJ-38PD8zUhsHEehcpgYlFxipFi4Sn2etw=k-s256,Pankaj Saini,https://stackoverflow.com/users/13277819/pankaj-saini,1653815209.0,,2022-05-26
False,2,1653796529,1653531324,72385977,72385537,CC BY-SA 4.0,80564,16343464,registered,https://www.gravatar.com/avatar/0555bd0deb416a320a0069abef08078a?s=256&d=identicon&r=PG&f=1,mozway,https://stackoverflow.com/users/16343464/mozway,1653796529.0,,2022-05-26
False,-1,1653790986,1653790986,72420496,72393760,CC BY-SA 4.0,18021,5212614,registered,https://i.stack.imgur.com/2qaHz.jpg?s=256&g=1,ASH,https://stackoverflow.com/users/5212614/ash,,32.0,2022-05-26
True,1,1653758675,1653758675,72417788,72394438,CC BY-SA 4.0,5446,11246056,registered,https://i.stack.imgur.com/dmC60.jpg?s=256&g=1,Laurent,https://stackoverflow.com/users/11246056/laurent,,,2022-05-26
True,0,1653666215,1653666215,72407930,72385988,CC BY-SA 4.0,280,3006169,registered,https://www.gravatar.com/avatar/d938ac98d86c7f4b938236b4731dc432?s=256&d=identicon&r=PG,Andr&#233;,https://stackoverflow.com/users/3006169/andr%c3%a9,,,2022-05-26
False,0,1653663716,1653607574,72399005,72398872,CC BY-SA 4.0,3813,820088,registered,https://www.gravatar.com/avatar/0c12a69b7c2ff72b7a053be8679a962f?s=256&d=identicon&r=PG,Mike,https://stackoverflow.com/users/820088/mike,1653663716.0,58.0,2022-05-26
True,1,1653661303,1653598689,72397943,72397613,CC BY-SA 4.0,2650,15521392,registered,https://lh3.googleusercontent.com/a-/AOh14GjSWglYUyGv-uoYjigP4kZMVaYstO5phF1fddGB=k-s256,Rabinzel,https://stackoverflow.com/users/15521392/rabinzel,1653661303.0,,2022-05-26
False,1,1653657362,1653657332,72406055,72389994,CC BY-SA 4.0,11,19214371,registered,https://www.gravatar.com/avatar/d1759d85efefa58da81650c3207b5405?s=256&d=identicon&r=PG&f=1,Ahmed,https://stackoverflow.com/users/19214371/ahmed,1653657362.0,,2022-05-26
False,0,1653642629,1653642629,72403065,72398521,CC BY-SA 4.0,211,13566678,registered,https://www.gravatar.com/avatar/643dfe100bc5f05bdecfe4d9d837bf44?s=256&d=identicon&r=PG&f=1,Tom&#225;š Fr&#253;da,https://stackoverflow.com/users/13566678/tom%c3%a1%c5%a1-fr%c3%bdda,,,2022-05-26
False,0,1653640443,1653578095,72394092,72388656,CC BY-SA 4.0,96,2009047,registered,https://www.gravatar.com/avatar/cbeb7ad1d3882692b6864af922c9d5c1?s=256&d=identicon&r=PG,kleynjan,https://stackoverflow.com/users/2009047/kleynjan,1653640443.0,,2022-05-26
True,1,1653639652,1653639652,72402493,72394950,CC BY-SA 4.0,1305,11985088,registered,https://www.gravatar.com/avatar/d939db1ace1a8ed314172d21556232f9?s=256&d=identicon&r=PG&f=1,inquirer,https://stackoverflow.com/users/11985088/inquirer,,,2022-05-26
False,1,1653637418,1653637418,72402094,72396500,CC BY-SA 4.0,80564,16343464,registered,https://www.gravatar.com/avatar/0555bd0deb416a320a0069abef08078a?s=256&d=identicon&r=PG&f=1,mozway,https://stackoverflow.com/users/16343464/mozway,,,2022-05-26
