tags,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,owner_reputation,owner_user_id,owner_user_type,owner_profile_image,owner_display_name,owner_link,last_edit_date,closed_date,closed_reason,owner_accept_rate,insert_date
"datetime,pandas,pandas-groupby,python",True,35,72457907.0,2,3,1654068591,1653562290,72390629,CC BY-SA 4.0,https://stackoverflow.com/questions/72390629/pandas-groupby-mean-not-working-on-datetime-column,Pandas groupby mean not working on datetime column,1056,9182743,registered,https://www.gravatar.com/avatar/9306778cac4cc704a8931a04cf432bf9?s=256&d=identicon&r=PG,Leo,https://stackoverflow.com/users/9182743/leo,None,None,None,None,2022-05-26
"dataframe,numpy,pandas,python",True,32,72397140.0,4,2,1653596258,1653593541,72397109,CC BY-SA 4.0,https://stackoverflow.com/questions/72397109/python-dataframe-fill-text-in-certain-rows-if-other-columns-satisfied,Python dataframe: fill text in certain rows if other columns satisfied,2762,11922765,registered,https://www.gravatar.com/avatar/ed69b624cdb86e52caf0010e274df7b0?s=256&d=identicon&r=PG&f=1,Mainland,https://stackoverflow.com/users/11922765/mainland,1653596258.0,None,None,None,2022-05-26
"loops,multiple-conditions,pandas,python,rows",True,33,72388843.0,1,2,1653554959,1653552945,72388780,CC BY-SA 4.0,https://stackoverflow.com/questions/72388780/pandas-iterate-through-rows-based-on-multiple-conditions-and-then-subtract-from,pandas iterate through rows based on multiple conditions and then subtract from column?,65,18144711,registered,https://www.gravatar.com/avatar/84a06537e58a17634a667021475aa088?s=256&d=identicon&r=PG,Tahnee,https://stackoverflow.com/users/18144711/tahnee,None,None,None,None,2022-05-26
"pandas,python,python-3.x",True,110,72395099.0,4,2,1653583853,1653581864,72394943,CC BY-SA 4.0,https://stackoverflow.com/questions/72394943/filter-a-pandas-dataframe-columns-and-rows-using-values-from-a-dict,Filter a pandas dataframe columns and rows using values from a dict,35,17154354,registered,https://lh3.googleusercontent.com/a-/AOh14Gi-KJ7mYgppUA26Jgw94LZ9v7xPeQz5gRRrKP3W=k-s256,Ahmed Essam,https://stackoverflow.com/users/17154354/ahmed-essam,1653582078.0,None,None,None,2022-05-26
"dataframe,pandas,python",True,30,72394750.0,1,2,1653580925,1653577181,72393890,CC BY-SA 4.0,https://stackoverflow.com/questions/72393890/pivot-dataframe-such-that-unique-column-names-become-headers-and-unique-referenc,pivot dataframe such that unique column names become headers and unique references become index (sparse matrix),1738,7318120,registered,https://i.stack.imgur.com/sWhra.jpg?s=256&g=1,D.L,https://stackoverflow.com/users/7318120/d-l,1653579883.0,None,None,None,2022-05-26
"dataframe,dictionary,pandas,python,set",True,39,72389521.0,1,2,1653560734,1653556000,72389366,CC BY-SA 4.0,https://stackoverflow.com/questions/72389366/python-create-a-pandas-df-from-a-dict-columns-name-values-of-a-dict-value-in,"python Create a pandas DF from a dict. columns_name = values of a dict, value in df = 1 if the value is in the dict values else 0",35,11158538,registered,https://www.gravatar.com/avatar/f6ec96969304bd0684c8595bbd3b4561?s=256&d=identicon&r=PG&f=1,Salsa94,https://stackoverflow.com/users/11158538/salsa94,1653558865.0,None,None,None,2022-05-26
"pandas,python,python-3.x,tkinter",True,29,None,1,2,1653591835,1653571961,72392664,CC BY-SA 4.0,https://stackoverflow.com/questions/72392664/how-do-i-get-my-labels-in-the-open-file-methods-to-stay-and-not-disappear,How do I get my labels in the open_file methods to stay and not disappear?,43,12174980,registered,https://i.stack.imgur.com/2mPP2.jpg?s=256&g=1,codekage,https://stackoverflow.com/users/12174980/codekage,1653571996.0,None,None,None,2022-05-26
"csv,jupyter,pandas,python",True,36,None,1,2,1653570803,1653570495,72392341,None,https://stackoverflow.com/questions/72392341/how-can-i-make-pandas-read-my-csv-file-proparly-because-it-now-puts-every-value,How can I make Pandas read my csv file proparly because it now puts every value into the first column?,21,11307477,registered,https://lh4.googleusercontent.com/-NXcGZmKGzQQ/AAAAAAAAAAI/AAAAAAAAAAg/Dh1pObF1SMg/photo.jpg?sz=256,Jim Skra,https://stackoverflow.com/users/11307477/jim-skra,None,1653629007.0,Not suitable for this site,None,2022-05-26
"diacritics,pandas,pyspark,python",False,43,None,1,2,1653601691,1653590833,72396619,CC BY-SA 4.0,https://stackoverflow.com/questions/72396619/handling-umlauted-characters-in-pyspark,Handling Umlauted characters in PySpark,91,7476269,registered,https://www.gravatar.com/avatar/f6ed528f023f7e7607b1e57736692125?s=256&d=identicon&r=PG&f=1,Ayush Goyal,https://stackoverflow.com/users/7476269/ayush-goyal,1653597964.0,None,None,20.0,2022-05-26
"pandas,python",False,27,None,0,2,1653585366,1653582977,72395154,CC BY-SA 4.0,https://stackoverflow.com/questions/72395154/how-to-check-if-column-with-name-is-valid-by-regex,How to check if column with name is valid by regex?,87,19198235,registered,https://www.gravatar.com/avatar/56fd608eb58ec7ede93b94e92652d16e?s=256&d=identicon&r=PG,Mandalina,https://stackoverflow.com/users/19198235/mandalina,1653585366.0,None,None,None,2022-05-26
