tags,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,owner_reputation,owner_user_id,owner_user_type,owner_accept_rate,owner_profile_image,owner_display_name,owner_link,closed_date,closed_reason,insert_date
"pandas,pandas-groupby",True,46,72411671.0,1,3,1653692409,1653689373,1653692409.0,72411501,CC BY-SA 4.0,https://stackoverflow.com/questions/72411501/multiple-nested-groupby-in-pandas,multiple nested groupby in pandas,2634,206253,registered,68.0,https://i.stack.imgur.com/VY4j3.jpg?s=256&g=1,Nick stands with Ukraine,https://stackoverflow.com/users/206253/nick-stands-with-ukraine,None,None,2022-05-27
"dataframe,pandas,python",True,41,72410424.0,1,3,1653683001,1653678074,1653678246.0,72409991,CC BY-SA 4.0,https://stackoverflow.com/questions/72409991/how-to-search-a-substring-from-one-df-in-another-df,How to search a substring from one df in another df?,33,19216302,registered,None,https://www.gravatar.com/avatar/90d6c9e726e4699779d5163ae2366003?s=256&d=identicon&r=PG,krafty,https://stackoverflow.com/users/19216302/krafty,None,None,2022-05-27
"dataframe,pandas,python",True,29,None,1,3,1653672488,1653670364,None,72408709,CC BY-SA 4.0,https://stackoverflow.com/questions/72408709/does-pandas-release-the-last-chunk-from-memory-after-loading-the-next-one,Does Pandas release the last chunk from memory after loading the next one?,77,14464956,registered,None,https://i.stack.imgur.com/Kq3aQ.png?s=256&g=1,Oliveira,https://stackoverflow.com/users/14464956/oliveira,None,None,2022-05-27
"pandas,python",True,38,None,1,3,1653634843,1653634139,None,72401499,CC BY-SA 4.0,https://stackoverflow.com/questions/72401499/python-remove-rows-with-max-value-in-each-hour,Python: remove rows with max value in each hour,31,17979040,registered,None,https://www.gravatar.com/avatar/53c5fea471e77cb70ea047aabbdaf8ea?s=256&d=identicon&r=PG,dev_groot,https://stackoverflow.com/users/17979040/dev-groot,None,None,2022-05-27
"dataframe,pandas,python",True,26,72401807.0,1,2,1653636320,1653635615,1653635883.0,72401746,CC BY-SA 4.0,https://stackoverflow.com/questions/72401746/drop-the-duplicate-where-boolean-column-false,Drop the duplicate where boolean column = False,73,17797961,registered,None,https://www.gravatar.com/avatar/d6b8106f87e0370a30664a126cc8fbfe?s=256&d=identicon&r=PG,r-learning-machine,https://stackoverflow.com/users/17797961/r-learning-machine,None,None,2022-05-27
"dataframe,pandas,python-3.6",True,25,72411676.0,1,1,1653691162,1653690041,None,72411565,CC BY-SA 4.0,https://stackoverflow.com/questions/72411565/how-do-i-select-rows-from-pandas-df-without-returning-false-values,how do I select rows from pandas df without returning False values?,401,9621690,registered,None,https://www.gravatar.com/avatar/9ff561d180b575d9c0479ecd7959a2a7?s=256&d=identicon&r=PG&f=1,Starter,https://stackoverflow.com/users/9621690/starter,None,None,2022-05-27
"pandas,python",True,78,72409623.0,2,1,1653912201,1653663145,1653912201.0,72407244,CC BY-SA 4.0,https://stackoverflow.com/questions/72407244/find-sum-of-values-of-a-column-spread-over-different-months-in-python,Find sum of values of a column spread over different months in Python,218,5391454,registered,0.0,https://i.stack.imgur.com/vXlOf.jpg?s=256&g=1,Saradamani,https://stackoverflow.com/users/5391454/saradamani,None,None,2022-05-27
"dataframe,pandas,python",True,34,72410144.0,3,1,1653981277,1653678694,1653703342.0,72410081,CC BY-SA 4.0,https://stackoverflow.com/questions/72410081/how-to-add-a-dataframe-with-another-dataframe-and-add-common-columns-values-base,how to add a dataframe with another dataframe and add common columns values based on a column?,27,18223028,registered,None,https://www.gravatar.com/avatar/c9fb36ab73f3510dbd85bfe8c189875e?s=256&d=identicon&r=PG,ambuj151,https://stackoverflow.com/users/18223028/ambuj151,None,None,2022-05-27
"list,pandas,python,sorting",True,31,72403299.0,2,1,1653643811,1653642448,None,72403031,CC BY-SA 4.0,https://stackoverflow.com/questions/72403031/sort-words-in-pandas-column-list,Sort Words in Pandas Column list,552,11331691,registered,None,https://lh5.googleusercontent.com/-tCjqoCXSd04/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rfEQQRFxanJmL2Wk5B3T2LVylDeyQ/mo/photo.jpg?sz=256,A2N15,https://stackoverflow.com/users/11331691/a2n15,None,None,2022-05-27
"dataframe,pandas,python",True,39,None,2,1,1653870429,1653642386,None,72403021,CC BY-SA 4.0,https://stackoverflow.com/questions/72403021/two-data-frame-combine-on-the-basis-of-index,Two data frame combine on the basis of index,45,19142434,registered,None,https://lh3.googleusercontent.com/a-/AOh14GiO-dBdL6bk55UDJBPI68ETs_wVxXMAFBpy8KNY=k-s256,N2M,https://stackoverflow.com/users/19142434/n2m,None,None,2022-05-27
